HOG	OG	Gene Tree Parent Clade	Zymomonas_mobilis_ATCC10988	Zymomonas_mobilis_GLBRC	Zymomonas_mobilis_ZM4
N0.HOG0000580	OG0000548	-	Zmob_0537	ZMO1_ZMO0748	ZMO0748
N0.HOG0000581	OG0000549	-	Zmob_0538	ZMO1_ZMO0747	ZMO0747
N0.HOG0000582	OG0000550	-	Zmob_0539	ZMO1_ZMO0746	ZMO0746
N0.HOG0000583	OG0000551	-	Zmob_0546	ZMO1_ZMO0744	ZMO0744
N0.HOG0000584	OG0000552	-	Zmob_0547	ZMO1_ZMO0743	ZMO0743
N0.HOG0000585	OG0000553	-	Zmob_0548	ZMO1_ZMO0740	ZMO0740
N0.HOG0000586	OG0000554	-	Zmob_0549	ZMO1_ZMO0739	ZMO0739
N0.HOG0000587	OG0000555	-	Zmob_0550	ZMO1_ZMO0738	ZMO0738
N0.HOG0000588	OG0000556	-	Zmob_0551	ZMO1_ZMO0737	ZMO0737
N0.HOG0000589	OG0000557	-	Zmob_0552	ZMO1_ZMO0736	ZMO0736
N0.HOG0000590	OG0000558	-	Zmob_0553	ZMO1_ZMO0735	ZMO0735
N0.HOG0000591	OG0000559	-	Zmob_0554	ZMO1_ZMO0734	ZMO0734
N0.HOG0000592	OG0000560	-	Zmob_0555	ZMO1_ZMO0733	ZMO0733
N0.HOG0000593	OG0000561	-	Zmob_0556	ZMO1_ZMO0732	ZMO0732
N0.HOG0000594	OG0000562	-	Zmob_0557	ZMO1_ZMO0731	ZMO0731
N0.HOG0000595	OG0000563	-	Zmob_0558	ZMO1_ZMO0728	ZMO0728
N0.HOG0000596	OG0000564	-	Zmob_0559	ZMO1_ZMO0727	ZMO0727
N0.HOG0000597	OG0000565	-	Zmob_0560	ZMO1_ZMO0726	ZMO0726
N0.HOG0000598	OG0000566	-	Zmob_0561	ZMO1_ZMO0725	ZMO0725
N0.HOG0000599	OG0000567	-	Zmob_0562	ZMO1_ZMO0724	ZMO0724
N0.HOG0000600	OG0000568	-	Zmob_0563	ZMO1_ZMO2006	ZMO2006
N0.HOG0000601	OG0000569	-	Zmob_0564	ZMO1_ZMO0722	ZMO0722
N0.HOG0000602	OG0000570	-	Zmob_0565	ZMO1_ZMO0721	ZMO0721
N0.HOG0000603	OG0000571	-	Zmob_0566	ZMO1_ZMO0720	ZMO0720
N0.HOG0000604	OG0000572	-	Zmob_0567	ZMO1_ZMO0719	ZMO0719
N0.HOG0000605	OG0000573	-	Zmob_0569	ZMO1_ZMO0716	ZMO0716
N0.HOG0000606	OG0000574	-	Zmob_0570	ZMO1_ZMO0715	ZMO0715
N0.HOG0000607	OG0000575	-	Zmob_0571	ZMO1_ZMO0714	ZMO0714
N0.HOG0000608	OG0000576	-	Zmob_0572	ZMO1_ZMO0713	ZMO0713
N0.HOG0000609	OG0000577	-	Zmob_0573	ZMO1_ZMO0712	ZMO0712
N0.HOG0000610	OG0000578	-	Zmob_0574	ZMO1_ZMO0711	ZMO0711
N0.HOG0000611	OG0000579	-	Zmob_0575	ZMO1_ZMO0710	ZMO0710
N0.HOG0000612	OG0000580	-	Zmob_0576	ZMO1_ZMO0709	ZMO0709
N0.HOG0000613	OG0000581	-	Zmob_0577	ZMO1_ZMO0708	ZMO0708
N0.HOG0000614	OG0000582	-	Zmob_0578	ZMO1_ZMO0707	ZMO0707
N0.HOG0000615	OG0000583	-	Zmob_0579	ZMO1_ZMO0706	ZMO0706
N0.HOG0000616	OG0000584	-	Zmob_0580	ZMO1_ZMO0705	ZMO0705
N0.HOG0000617	OG0000585	-	Zmob_0581	ZMO1_ZMO0704	ZMO0704
N0.HOG0000618	OG0000586	-	Zmob_0583	ZMO1_ZMO0699	ZMO0699
N0.HOG0000619	OG0000587	-	Zmob_0584	ZMO1_ZMO0698	ZMO0698
N0.HOG0000620	OG0000588	-	Zmob_0585	ZMO1_ZMO0697	ZMO0697
N0.HOG0000621	OG0000589	-	Zmob_0586	ZMO1_ZMO0695	ZMO0695
N0.HOG0000622	OG0000590	-	Zmob_0587	ZMO1_ZMO0694	ZMO0694
N0.HOG0000623	OG0000591	-	Zmob_0588	ZMO1_ZMO0693	ZMO0693
N0.HOG0000624	OG0000592	-	Zmob_0589	ZMO1_ZMO0692	ZMO0692
N0.HOG0000625	OG0000593	-	Zmob_0590	ZMO1_ZMO0691	ZMO0691
N0.HOG0000626	OG0000594	-	Zmob_0591	ZMO1_ZMO0689	ZMO0689
N0.HOG0000627	OG0000595	-	Zmob_0592	ZMO1_ZMO0688	ZMO0688
N0.HOG0000628	OG0000596	-	Zmob_0593	ZMO1_ZMO0687	ZMO0687
N0.HOG0000629	OG0000597	-	Zmob_0594	ZMO1_ZMO0686	ZMO0686
N0.HOG0000630	OG0000598	-	Zmob_0597	ZMO1_ZMO0684	ZMO0684
N0.HOG0000631	OG0000599	-	Zmob_0598	ZMO1_ZMO0683	ZMO0683
N0.HOG0000632	OG0000600	-	Zmob_0599	ZMO1_ZMO0682	ZMO0682
N0.HOG0000633	OG0000601	-	Zmob_0600	ZMO1_ZMO0681	ZMO0681
N0.HOG0000634	OG0000602	-	Zmob_0601	ZMO1_ZMO0680	ZMO0680
N0.HOG0000635	OG0000603	-	Zmob_0602	ZMO1_ZMO0678	ZMO0678
N0.HOG0000636	OG0000604	-	Zmob_0603	ZMO1_ZMO0677	ZMO0677
N0.HOG0000637	OG0000605	-	Zmob_0604	ZMO1_ZMO0676	ZMO0676
N0.HOG0000638	OG0000606	-	Zmob_0606	ZMO1_ZMO0674	ZMO0674
N0.HOG0000639	OG0000607	-	Zmob_0607	ZMO1_ZMO0673	ZMO0673
N0.HOG0000640	OG0000608	-	Zmob_0608	ZMO1_ZMO0672	ZMO0672
N0.HOG0000641	OG0000609	-	Zmob_0609	ZMO1_ZMO0671	ZMO0671
N0.HOG0000642	OG0000610	-	Zmob_0610	ZMO1_ZMO0669	ZMO0669
N0.HOG0000643	OG0000611	-	Zmob_0611	ZMO1_ZMO0668	ZMO0668
N0.HOG0000644	OG0000612	-	Zmob_0612	ZMO1_ZMO0667	ZMO0667
N0.HOG0000645	OG0000613	-	Zmob_0613	ZMO1_ZMO2005	ZMO2005
N0.HOG0000646	OG0000614	-	Zmob_0614	ZMO1_ZMO0666	ZMO0666
N0.HOG0000647	OG0000615	-	Zmob_0615	ZMO1_ZMO0665	ZMO0665
N0.HOG0000648	OG0000616	-	Zmob_0616	ZMO1_ZMO0664	ZMO0664
N0.HOG0000649	OG0000617	-	Zmob_0617	ZMO1_ZMO0663	ZMO0663
N0.HOG0000650	OG0000618	-	Zmob_0618	ZMO1_ZMO0662	ZMO0662
N0.HOG0000651	OG0000619	-	Zmob_0619	ZMO1_ZMO0661	ZMO0661
N0.HOG0000652	OG0000620	-	Zmob_0620	ZMO1_ZMO0660	ZMO0660
N0.HOG0000653	OG0000621	-	Zmob_0621	ZMO1_ZMO0659	ZMO0659
N0.HOG0000654	OG0000622	-	Zmob_0622	ZMO1_ZMO0658	ZMO0658
N0.HOG0000655	OG0000623	-	Zmob_0626	ZMO1_ZMO0215	ZMO0215
N0.HOG0000656	OG0000624	-	Zmob_0627	ZMO1_ZMO0214	ZMO0214
N0.HOG0000657	OG0000625	-	Zmob_0629	ZMO1_ZMO0211	ZMO0211
N0.HOG0000658	OG0000626	-	Zmob_0630	ZMO1_ZMO0209	ZMO0209
N0.HOG0000659	OG0000627	-	Zmob_0631	ZMO1_ZMO0208	ZMO0208
N0.HOG0000660	OG0000628	-	Zmob_0632	ZMO1_ZMO0207	ZMO0207
N0.HOG0000661	OG0000629	-	Zmob_0633	ZMO1_ZMO0206	ZMO0206
N0.HOG0000662	OG0000630	-	Zmob_0634	ZMO1_ZMO0205	ZMO0205
N0.HOG0000663	OG0000631	-	Zmob_0635	ZMO1_ZMO0204	ZMO0204
N0.HOG0000664	OG0000632	-	Zmob_0636	ZMO1_ZMO0203	ZMO0203
N0.HOG0000665	OG0000633	-	Zmob_0637	ZMO1_ZMO0202	ZMO0202
N0.HOG0000666	OG0000634	-	Zmob_0639	ZMO1_ZMO0200	ZMO0200
N0.HOG0000667	OG0000635	-	Zmob_0640	ZMO1_ZMO0199	ZMO0199
N0.HOG0000668	OG0000636	-	Zmob_0641	ZMO1_ZMO0198	ZMO0198
N0.HOG0000669	OG0000637	-	Zmob_0642	ZMO1_ZMO0197	ZMO0197
N0.HOG0000670	OG0000638	-	Zmob_0644	ZMO1_ZMO0195	ZMO0195
N0.HOG0000671	OG0000639	-	Zmob_0647	ZMO1_ZMO0193	ZMO0193
N0.HOG0000672	OG0000640	-	Zmob_0648	ZMO1_ZMO0192	ZMO0192
N0.HOG0000673	OG0000641	-	Zmob_0649	ZMO1_ZMO0191	ZMO0191
N0.HOG0000674	OG0000642	-	Zmob_0650	ZMO1_ZMO0190	ZMO0190
N0.HOG0000675	OG0000643	-	Zmob_0651	ZMO1_ZMO0189	ZMO0189
N0.HOG0000676	OG0000644	-	Zmob_0652	ZMO1_ZMO0188	ZMO0188
N0.HOG0000677	OG0000645	-	Zmob_0653	ZMO1_ZMO0187	ZMO0187
N0.HOG0000678	OG0000646	-	Zmob_0654	ZMO1_ZMO0186	ZMO0186
N0.HOG0000679	OG0000647	-	Zmob_0655	ZMO1_ZMO0184	ZMO0184
N0.HOG0000680	OG0000648	-	Zmob_0656	ZMO1_ZMO0183	ZMO0183
N0.HOG0000681	OG0000649	-	Zmob_0657	ZMO1_ZMO0182	ZMO0182
N0.HOG0000682	OG0000650	-	Zmob_0658	ZMO1_ZMO0180	ZMO0180
N0.HOG0000683	OG0000651	-	Zmob_0659	ZMO1_ZMO0179	ZMO0179
N0.HOG0000684	OG0000652	-	Zmob_0660	ZMO1_ZMO0178	ZMO0178
N0.HOG0000685	OG0000653	-	Zmob_0661	ZMO1_ZMO0177	ZMO0177
N0.HOG0000686	OG0000654	-	Zmob_0662	ZMO1_ZMO0176	ZMO0176
N0.HOG0000687	OG0000655	-	Zmob_0663	ZMO1_ZMO0175	ZMO0175
N0.HOG0000688	OG0000656	-	Zmob_0664	ZMO1_ZMO0174	ZMO0174
N0.HOG0000689	OG0000657	-	Zmob_0665	ZMO1_ZMO0173	ZMO0173
N0.HOG0000690	OG0000658	-	Zmob_0666	ZMO1_ZMO0172	ZMO0172
N0.HOG0000691	OG0000659	-	Zmob_0669	ZMO1_ZMO0166	ZMO0166
N0.HOG0000692	OG0000660	-	Zmob_0670	ZMO1_ZMO0165	ZMO0165
N0.HOG0000693	OG0000661	-	Zmob_0671	ZMO1_ZMO0164	ZMO0164
N0.HOG0000694	OG0000662	-	Zmob_0672	ZMO1_ZMO0162	ZMO0162
N0.HOG0000695	OG0000663	-	Zmob_0673	ZMO1_ZMO0161	ZMO0161
N0.HOG0000696	OG0000664	-	Zmob_0674	ZMO1_ZMO0160	ZMO0160
N0.HOG0000697	OG0000665	-	Zmob_0675	ZMO1_ZMO0158	ZMO0158
N0.HOG0000698	OG0000666	-	Zmob_0676	ZMO1_ZMO0157	ZMO0157
N0.HOG0000699	OG0000667	-	Zmob_0677	ZMO1_ZMO0156	ZMO0156
N0.HOG0000700	OG0000668	-	Zmob_0678	ZMO1_ZMO0155	ZMO0155
N0.HOG0000701	OG0000669	-	Zmob_0679	ZMO1_ZMO0154	ZMO0154
N0.HOG0000702	OG0000670	-	Zmob_0680	ZMO1_ZMO0153	ZMO0153
N0.HOG0000703	OG0000671	-	Zmob_0681	ZMO1_ZMOp36x034, ZMO1_ZMO2043	
N0.HOG0000704	OG0000672	-	Zmob_0682	ZMO1_ZMO0152	ZMO0152
N0.HOG0000705	OG0000673	-	Zmob_0683	ZMO1_ZMO0150	ZMO0150
N0.HOG0000706	OG0000674	-	Zmob_0684	ZMO1_ZMO0149	ZMO0149
N0.HOG0000707	OG0000675	-	Zmob_0685	ZMO1_ZMO0148	ZMO0148
N0.HOG0000708	OG0000676	-	Zmob_0686	ZMO1_ZMO0145	ZMO0145
N0.HOG0000709	OG0000677	-	Zmob_0687	ZMO1_ZMO0144	ZMO0144
N0.HOG0000710	OG0000678	-	Zmob_0688	ZMO1_ZMO0143	ZMO0143
N0.HOG0000711	OG0000679	-	Zmob_0689	ZMO1_ZMO0142	ZMO0142
N0.HOG0000712	OG0000680	-	Zmob_0690	ZMO1_ZMO0140	ZMO0140
N0.HOG0000713	OG0000681	-	Zmob_0691	ZMO1_ZMO0139	ZMO0139
N0.HOG0000714	OG0000682	-	Zmob_0694	ZMO1_ZMO0135	ZMO0135
N0.HOG0000715	OG0000683	-	Zmob_0695	ZMO1_ZMO0134	ZMO0134
N0.HOG0000716	OG0000684	-	Zmob_0698	ZMO1_ZMO0133	ZMO0133
N0.HOG0000717	OG0000685	-	Zmob_0699	ZMO1_ZMO0132	ZMO0132
N0.HOG0000718	OG0000686	-	Zmob_0700	ZMO1_ZMO0131	ZMO0131
N0.HOG0000719	OG0000687	-	Zmob_0701	ZMO1_ZMO0130	ZMO0130
N0.HOG0000720	OG0000688	-	Zmob_0703	ZMO1_ZMO0127	ZMO0127
N0.HOG0000721	OG0000689	-	Zmob_0705	ZMO1_ZMO0125	ZMO0125
N0.HOG0000722	OG0000690	-	Zmob_0706	ZMO1_ZMO0124	ZMO0124
N0.HOG0000723	OG0000691	-	Zmob_0707	ZMO1_ZMO0122	ZMO0122
N0.HOG0000724	OG0000692	-	Zmob_0708	ZMO1_ZMO0121	ZMO0121
N0.HOG0000725	OG0000693	-	Zmob_0709	ZMO1_ZMO0120	ZMO0120
N0.HOG0000726	OG0000694	-	Zmob_0710	ZMO1_ZMO0117	ZMO0117
N0.HOG0000727	OG0000695	-	Zmob_0711	ZMO1_ZMO0116	ZMO0116
N0.HOG0000728	OG0000696	-	Zmob_0712	ZMO1_ZMO0115	ZMO0115
N0.HOG0000729	OG0000697	-	Zmob_0714	ZMO1_ZMO0113	ZMO0113
N0.HOG0000730	OG0000698	-	Zmob_0716	ZMO1_ZMO0112	ZMO0112
N0.HOG0000731	OG0000699	-	Zmob_0717	ZMO1_ZMO0111	ZMO0111
N0.HOG0000732	OG0000700	-	Zmob_0719	ZMO1_ZMO0109	ZMO0109
N0.HOG0000733	OG0000701	-	Zmob_0720	ZMO1_ZMO0108	ZMO0108
N0.HOG0000734	OG0000702	-	Zmob_0721	ZMO1_ZMO0107	ZMO0107
N0.HOG0000735	OG0000703	-	Zmob_0722	ZMO1_ZMO0106	ZMO0106
N0.HOG0000736	OG0000704	-	Zmob_0723	ZMO1_ZMO0105	ZMO0105
N0.HOG0000737	OG0000705	-	Zmob_0724	ZMO1_ZMO0103	ZMO0103
N0.HOG0000738	OG0000706	-	Zmob_0725	ZMO1_ZMO0101	ZMO0101
N0.HOG0000739	OG0000707	-	Zmob_0727	ZMO1_ZMO0099	ZMO0099
N0.HOG0000740	OG0000708	-	Zmob_0728	ZMO1_ZMO0096	ZMO0096
N0.HOG0000741	OG0000709	-	Zmob_0729	ZMO1_ZMO0095	ZMO0095
N0.HOG0000742	OG0000710	-	Zmob_0730	ZMO1_ZMO0094	ZMO0094
N0.HOG0000743	OG0000711	-	Zmob_0731	ZMO1_ZMO0092	ZMO0092
N0.HOG0000744	OG0000712	-	Zmob_0735	ZMO1_ZMO0087	ZMO0087
N0.HOG0000745	OG0000713	-	Zmob_0736	ZMO1_ZMO0086	ZMO0086
N0.HOG0000746	OG0000714	-	Zmob_0737	ZMO1_ZMO0085	ZMO0085
N0.HOG0000747	OG0000715	-	Zmob_0738	ZMO1_ZMO0084	ZMO0084
N0.HOG0000748	OG0000716	-	Zmob_0739	ZMO1_ZMO0083	ZMO0083
N0.HOG0000749	OG0000717	-	Zmob_0740	ZMO1_ZMO0082	ZMO0082
N0.HOG0000750	OG0000718	-	Zmob_0741	ZMO1_ZMO0081	ZMO0081
N0.HOG0000751	OG0000719	-	Zmob_0742	ZMO1_ZMO0080	ZMO0080
N0.HOG0000752	OG0000720	-	Zmob_0744	ZMO1_ZMO0078	ZMO0078
N0.HOG0000753	OG0000721	-	Zmob_0745	ZMO1_ZMO0077	ZMO0077
N0.HOG0000754	OG0000722	-	Zmob_0746	ZMO1_ZMO0075	ZMO0075
N0.HOG0000755	OG0000723	-	Zmob_0747	ZMO1_ZMO0074	ZMO0074
N0.HOG0000756	OG0000724	-	Zmob_0748	ZMO1_ZMO0073	ZMO0073
N0.HOG0000757	OG0000725	-	Zmob_0749	ZMO1_ZMO0072	ZMO0072
N0.HOG0000758	OG0000726	-	Zmob_0751	ZMO1_ZMO0069	ZMO0069
N0.HOG0000759	OG0000727	-	Zmob_0752	ZMO1_ZMO0068	ZMO0068
N0.HOG0000760	OG0000728	-	Zmob_0753	ZMO1_ZMO0066	ZMO0066
N0.HOG0000761	OG0000729	-	Zmob_0754	ZMO1_ZMO0064	ZMO0064
N0.HOG0000762	OG0000730	-	Zmob_0755	ZMO1_ZMO0062	ZMO0062
N0.HOG0000763	OG0000731	-	Zmob_0756	ZMO1_ZMO0061	ZMO0061
N0.HOG0000764	OG0000732	-	Zmob_0757	ZMO1_ZMO0060	ZMO0060
N0.HOG0000765	OG0000733	-	Zmob_0758	ZMO1_ZMO0059	ZMO0059
N0.HOG0000766	OG0000734	-	Zmob_0759	ZMO1_ZMO0057	ZMO0057
N0.HOG0000767	OG0000735	-	Zmob_0760	ZMO1_ZMO0056	ZMO0056
N0.HOG0000768	OG0000736	-	Zmob_0761	ZMO1_ZMO0055	ZMO0055
N0.HOG0000769	OG0000737	-	Zmob_0762	ZMO1_ZMO0044	ZMO0044
N0.HOG0000770	OG0000738	-	Zmob_0763	ZMO1_ZMO0043	ZMO0043
N0.HOG0000771	OG0000739	-	Zmob_0764	ZMO1_ZMO0041	ZMO0041
N0.HOG0000772	OG0000740	-	Zmob_0765	ZMO1_ZMO0040	ZMO0040
N0.HOG0000773	OG0000741	-	Zmob_0766	ZMO1_ZMO0039	ZMO0039
N0.HOG0000774	OG0000742	-	Zmob_0767	ZMO1_ZMO0038	ZMO0038
N0.HOG0000775	OG0000743	-	Zmob_0768	ZMO1_ZMO0037	ZMO0037
N0.HOG0000776	OG0000744	-	Zmob_0769	ZMO1_ZMO0036	ZMO0036
N0.HOG0000777	OG0000745	-	Zmob_0770	ZMO1_ZMO0035	ZMO0035
N0.HOG0000778	OG0000746	-	Zmob_0771	ZMO1_ZMO0033	ZMO0033
N0.HOG0000779	OG0000747	-	Zmob_0772	ZMO1_ZMO0031	ZMO0031
N0.HOG0000780	OG0000748	-	Zmob_0774	ZMO1_ZMO0029	ZMO0029
N0.HOG0000781	OG0000749	-	Zmob_0775	ZMO1_ZMO0028	ZMO0028
N0.HOG0000782	OG0000750	-	Zmob_0776	ZMO1_ZMO0027	ZMO0027
N0.HOG0000783	OG0000751	-	Zmob_0777	ZMO1_ZMO0026	ZMO0026
N0.HOG0000784	OG0000752	-	Zmob_0778	ZMO1_ZMO0025	ZMO0025
N0.HOG0000785	OG0000753	-	Zmob_0779	ZMO1_ZMO0023	ZMO0023
N0.HOG0000786	OG0000754	-	Zmob_0781	ZMO1_ZMO0219	ZMO0219
N0.HOG0000787	OG0000755	-	Zmob_0782	ZMO1_ZMO0220	ZMO0220
N0.HOG0000788	OG0000756	-	Zmob_0783	ZMO1_ZMO0221	ZMO0221
N0.HOG0000789	OG0000757	-	Zmob_0784	ZMO1_ZMO0222	ZMO0222
N0.HOG0000790	OG0000758	-	Zmob_0785	ZMO1_ZMO0223	ZMO0223
N0.HOG0000791	OG0000759	-	Zmob_0786	ZMO1_ZMO0224	ZMO0224
N0.HOG0000792	OG0000760	-	Zmob_0787	ZMO1_ZMO0225	ZMO0225
N0.HOG0000793	OG0000761	-	Zmob_0788	ZMO1_ZMO0226	ZMO0226
N0.HOG0000794	OG0000762	-	Zmob_0789	ZMO1_ZMO0227	ZMO0227
N0.HOG0000795	OG0000763	-	Zmob_0790	ZMO1_ZMO0228	ZMO0228
N0.HOG0000796	OG0000764	-	Zmob_0791	ZMO1_ZMO0229	ZMO0229
N0.HOG0000797	OG0000765	-	Zmob_0792	ZMO1_ZMO0230	ZMO0230
N0.HOG0000798	OG0000766	-	Zmob_0793	ZMO1_ZMO0231	ZMO0231
N0.HOG0000799	OG0000767	-	Zmob_0794	ZMO1_ZMO0232	ZMO0232
N0.HOG0000800	OG0000768	-	Zmob_0795	ZMO1_ZMO0233	ZMO0233
N0.HOG0000801	OG0000769	-	Zmob_0796	ZMO1_ZMO0234	ZMO0234
N0.HOG0000802	OG0000770	-	Zmob_0797	ZMO1_ZMO0236	ZMO0236
N0.HOG0000803	OG0000771	-	Zmob_0798	ZMO1_ZMO0238	ZMO0238
N0.HOG0000804	OG0000772	-	Zmob_0799	ZMO1_ZMO0239	ZMO0239
N0.HOG0000805	OG0000773	-	Zmob_0800	ZMO1_ZMO0240	ZMO0240
N0.HOG0000806	OG0000774	-	Zmob_0801	ZMO1_ZMO0241	ZMO0241
N0.HOG0000807	OG0000775	-	Zmob_0802	ZMO1_ZMO0242	ZMO0242
N0.HOG0000808	OG0000776	-	Zmob_0803	ZMO1_ZMO0243	ZMO0243
N0.HOG0000809	OG0000777	-	Zmob_0805	ZMO1_ZMO0246	ZMO0246
N0.HOG0000810	OG0000778	-	Zmob_0806	ZMO1_ZMO0247	ZMO0247
N0.HOG0000811	OG0000779	-	Zmob_0807	ZMO1_ZMO0249	ZMO0249
N0.HOG0000812	OG0000780	-	Zmob_0809	ZMO1_ZMO0251	ZMO0251
N0.HOG0000813	OG0000781	-	Zmob_0810	ZMO1_ZMO0252	ZMO0252
N0.HOG0000814	OG0000782	-	Zmob_0811	ZMO1_ZMO0253	ZMO0253
N0.HOG0000815	OG0000783	-	Zmob_0812	ZMO1_ZMO0254	ZMO0254
N0.HOG0000816	OG0000784	-	Zmob_0813	ZMO1_ZMO0255	ZMO0255
N0.HOG0000817	OG0000785	-	Zmob_0814	ZMO1_ZMO0256	ZMO0256
N0.HOG0000818	OG0000786	-	Zmob_0815	ZMO1_ZMO0257	ZMO0257
N0.HOG0000819	OG0000787	-	Zmob_0816	ZMO1_ZMO0258	ZMO0258
N0.HOG0000820	OG0000788	-	Zmob_0817	ZMO1_ZMO0260	ZMO0260
N0.HOG0000821	OG0000789	-	Zmob_0818	ZMO1_ZMO0262	ZMO0262
N0.HOG0000822	OG0000790	-	Zmob_0830	ZMO1_ZMO2001	ZMO2001
N0.HOG0000823	OG0000791	-	Zmob_0831	ZMO1_ZMO0271	ZMO0271
N0.HOG0000824	OG0000792	-	Zmob_0832	ZMO1_ZMO0273	ZMO0273
N0.HOG0000825	OG0000793	-	Zmob_0833	ZMO1_ZMO0274	ZMO0274
N0.HOG0000826	OG0000794	-	Zmob_0834	ZMO1_ZMO0275	ZMO0275
N0.HOG0000827	OG0000795	-	Zmob_0835	ZMO1_ZMO0276	ZMO0276
N0.HOG0000828	OG0000796	-	Zmob_0836	ZMO1_ZMO0277	ZMO0277
N0.HOG0000829	OG0000797	-	Zmob_0837	ZMO1_ZMO0278	ZMO0278
N0.HOG0000830	OG0000798	-	Zmob_0838	ZMO1_ZMO0279	ZMO0279
N0.HOG0000831	OG0000799	-	Zmob_0839	ZMO1_ZMO0281	ZMO0281
N0.HOG0000832	OG0000800	-	Zmob_0840	ZMO1_ZMO0282	ZMO0282
N0.HOG0000833	OG0000801	-	Zmob_0841	ZMO1_ZMO0283	ZMO0283
N0.HOG0000834	OG0000802	-	Zmob_0842	ZMO1_ZMO0285	ZMO0285
N0.HOG0000835	OG0000803	-	Zmob_0843	ZMO1_ZMO0286	ZMO0286
N0.HOG0000836	OG0000804	-	Zmob_0844	ZMO1_ZMO0287	ZMO0287
N0.HOG0000837	OG0000805	-	Zmob_0845	ZMO1_ZMO0290	ZMO0290
N0.HOG0000838	OG0000806	-	Zmob_0846	ZMO1_ZMO0291	ZMO0291
N0.HOG0000839	OG0000807	-	Zmob_0847	ZMO1_ZMO0293	ZMO0293
N0.HOG0000840	OG0000808	-	Zmob_0849	ZMO1_ZMO0294	ZMO0294
N0.HOG0000841	OG0000809	-	Zmob_0850	ZMO1_ZMO0296	ZMO0296
N0.HOG0000842	OG0000810	-	Zmob_0851	ZMO1_ZMO0297	ZMO0297
N0.HOG0000843	OG0000811	-	Zmob_0852	ZMO1_ZMO0298	ZMO0298
N0.HOG0000844	OG0000812	-	Zmob_0853	ZMO1_ZMO0299	ZMO0299
N0.HOG0000845	OG0000813	-	Zmob_0854	ZMO1_ZMO0300	ZMO0300
N0.HOG0000846	OG0000814	-	Zmob_0855	ZMO1_ZMO0301	ZMO0301
N0.HOG0000847	OG0000815	-	Zmob_0856	ZMO1_ZMO0302	ZMO0302
N0.HOG0000848	OG0000816	-	Zmob_0857	ZMO1_ZMO0303	ZMO0303
N0.HOG0000849	OG0000817	-	Zmob_0858	ZMO1_ZMO0305	ZMO0305
N0.HOG0000850	OG0000818	-	Zmob_0859	ZMO1_ZMO0306	ZMO0306
N0.HOG0000851	OG0000819	-	Zmob_0860	ZMO1_ZMO0307	ZMO0307
N0.HOG0000852	OG0000820	-	Zmob_0861	ZMO1_ZMO0309	ZMO0309
N0.HOG0000853	OG0000821	-	Zmob_0862	ZMO1_ZMO0311	ZMO0311
N0.HOG0000854	OG0000822	-	Zmob_0863	ZMO1_ZMO0312	ZMO0312
N0.HOG0000855	OG0000823	-	Zmob_0864	ZMO1_ZMO0313	ZMO0313
N0.HOG0000856	OG0000824	-	Zmob_0865	ZMO1_ZMO0314	ZMO0314
N0.HOG0000857	OG0000825	-	Zmob_0866	ZMO1_ZMO0315	ZMO0315
N0.HOG0000858	OG0000826	-	Zmob_0867	ZMO1_ZMO0318	ZMO0318
N0.HOG0000859	OG0000827	-	Zmob_0868	ZMO1_ZMO0319	ZMO0319
N0.HOG0000860	OG0000828	-	Zmob_0869	ZMO1_ZMO0321	ZMO0321
N0.HOG0000861	OG0000829	-	Zmob_0870	ZMO1_ZMO0322	ZMO0322
N0.HOG0000862	OG0000830	-	Zmob_0871	ZMO1_ZMO0323	ZMO0323
N0.HOG0000863	OG0000831	-	Zmob_0872	ZMO1_ZMO0324	ZMO0324
N0.HOG0000864	OG0000832	-	Zmob_0873	ZMO1_ZMO0325	ZMO0325
N0.HOG0000865	OG0000833	-	Zmob_0874	ZMO1_ZMO0326	ZMO0326
N0.HOG0000866	OG0000834	-	Zmob_0875	ZMO1_ZMO0327	ZMO0327
N0.HOG0000867	OG0000835	-	Zmob_0876	ZMO1_ZMO0328	ZMO0328
N0.HOG0000868	OG0000836	-	Zmob_0877	ZMO1_ZMO0329	ZMO0329
N0.HOG0000869	OG0000837	-	Zmob_0878	ZMO1_ZMO0331	ZMO0331
N0.HOG0000870	OG0000838	-	Zmob_0879	ZMO1_ZMO0332	ZMO0332
N0.HOG0000871	OG0000839	-	Zmob_0880	ZMO1_ZMO0335	ZMO0335
N0.HOG0000872	OG0000840	-	Zmob_0881	ZMO1_ZMO0336	ZMO0336
N0.HOG0000873	OG0000841	-	Zmob_0882	ZMO1_ZMO0339	ZMO0339
N0.HOG0000874	OG0000842	-	Zmob_0883	ZMO1_ZMO0341	ZMO0341
N0.HOG0000875	OG0000843	-	Zmob_0884	ZMO1_ZMO0342	ZMO0342
N0.HOG0000876	OG0000844	-	Zmob_0885	ZMO1_ZMO0343	ZMO0343
N0.HOG0000877	OG0000845	-	Zmob_0886	ZMO1_ZMO0344	ZMO0344
N0.HOG0000878	OG0000846	-	Zmob_0887	ZMO1_ZMO0345	ZMO0345
N0.HOG0000879	OG0000847	-	Zmob_0888	ZMO1_ZMO0346	ZMO0346
N0.HOG0000880	OG0000848	-	Zmob_0889	ZMO1_ZMO0347	ZMO0347
N0.HOG0000881	OG0000849	-	Zmob_0890	ZMO1_ZMO0348	ZMO0348
