HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_ATCC_17978	Aggregatibacter_actinomycetemcomitans_624	Aggregatibacter_actinomycetemcomitans_VT1169	Agrobacterium_fabrum	Azoarcus_olearius_DQS-4	Bacteroides_thetaiotaomicron_VPI-5482	Bradyrhizobium_diazoefficiens	Brevundimonas_subvibrioides	Burkholderia_cenocepacia_J2315	Campylobacter_jejuni_81-176	Caulobacter_crescentus	Caulobacter_vibrioides	Citrobacter_rodentium_ICC168	Clostridium_difficile_R20291	Enterobacter_cloacae_ATCC_13047	Escherichia_coli_BW25113	Escherichia_coli_Nissle_1917	Escherichia_coli_UTI89	Francisella_tularensis_Schu_S4	Herbaspirillum_seropedicae_SmR1	Klebsiella_pneumoniae_ATCC_43816_KPPR1	Legionella_pneumophila_Philadelphia_1	Mycobacterium_tuberculosis_H37Rv	Neisseria_meningitidis_Z2491	Novosphingobium_aromaticivorans	Porphyromonas_gingivalis_ATCC_33277	Providencia_stuartii_BE2467	Pseudomonas_aeruginosa_PAO1	Pseudomonas_aeruginosa_UCBPP-PA14	Pseudomonas_simiae_WCS417	Pseudomonas_syringae_B728a	Ralstonia_solanacearum_GMI1000	Ralstonia_solanacearum_IBSBF1503	Ralstonia_solanacearum_PSI07	Rhodobacter_sphaeroides	Rhodopseudomonas_palustris	Salmonella_enterica_14028S	Salmonella_typhi_CT18	Salmonella_typhimurium_SL1344	Snodgrassella_alvi_wkB2	Sphingomonas_wittichii	Staphylococcus_aureus_6850	Staphylococcus_aureus_MRSA252	Staphylococcus_aureus_MSSA476	Staphylococcus_aureus_NCTC_8325	Staphylococcus_aureus_USA300_TCH1516	Streptococcus_agalactiae_A909	Streptococcus_pneumoniae_BHN97x	Streptococcus_pneumoniae_TIGR4	Streptococcus_pyogenes_5448	Vibrio_anguillarum_425	Vibrio_cholerae_N16961	Vibrio_fischeri_ES114	Yersinia_pestis_CO92	Zymomonas_mobilis
N0.HOG0006687	OG0001987	n1					dqs_3898, dqs_0406		BA000040v2__5685		BCAL3168											Hsero_1272, Hsero_4688												RSc0273	RALBFv3_10495	RPSI07_3141	RSP_1916	RPA2183																			
N0.HOG0006688	OG0001987	n11				At1D132_47540			BA000040v2__590		BCAM2663		CC_0643	CCNA_00680								Hsero_0590					Saro_3869			PA0118	PA14_01440	PS417_09495			RALBFv3_16780			RPA0022, RPA0848																			
N0.HOG0006689	OG0001988	n0				At1D132_48290											ECL_03207, ECL_01320, ECL_03571	BW25113_0556	ECOLIN_06605, ECOLIN_06640	UTI89_C1492, UTI89_C1304, UTI89_C2989, UTI89_C2659, UTI89_C5113									BGK56_20100				Psyr_4582	RSc1703					STM14_2458, STM14_1169, STM14_1453, STM14_3194		SL1344_1955, SL1344_0967, SL1344_2575												B5S57_11645			YPO2099	
N0.HOG0006690	OG0001989	n2																							Rv3397c																			RSAU_002403		SAS2448	SAOUHSC_02879	USA300HOU_2557									
N0.HOG0006691	OG0001989	n8																						lpg0111			Saro_1913																														
N0.HOG0006692	OG0001989	n10							BA000040v2__3070	Bresu_2278																	Saro_1814										RSP_0270	RPA1513, RPA3742																			
N0.HOG0006693	OG0001989	n16					dqs_2039				BCAL2007											Hsero_2592				NMA1339								RSc1652	RALBFv3_01395	RPSI07_1746						SALWKB2_1031															
N0.HOG0006694	OG0001990	n0					dqs_2256				BCAL0517				ROD_39001		ECL_05122	BW25113_3859	ECOLIN_21520	UTI89_C4446		Hsero_1436	VK055_3304						BGK56_11905	PA0486	PA14_06330	PS417_26025	Psyr_4697	RSc0540	RALBFv3_11870	RPSI07_2819			STM14_4805	AL513382v1__7839	SL1344_3944												B5S57_20220	VC_0035	VF_2552	YPO0014	
N0.HOG0006695	OG0001991	n0					dqs_2426		BA000040v2__3031	Bresu_0207			CC_0009	CCNA_00009	ROD_23451		ECL_03516	BW25113_2212	ECOLIN_12465, ECOLIN_25770	UTI89_C2492		Hsero_1680	VK055_4888						BGK56_02935			PS417_14100	Psyr_2985	RSc2568	RALBFv3_05250	RPSI07_0899		RPA1722	STM14_2794	AL513382v1__4821	SL1344_2234		Swit_0549														
N0.HOG0006696	OG0001992	n1					dqs_2993														FTT_0785					NMA0228				PA4106, PA3283	PA14_21580																						B5S57_12580				
N0.HOG0006697	OG0001992	n8											CC_2906	CCNA_03000										lpg2254								PS417_16700, PS417_28360			RALBFv3_08690								Swit_4400														
N0.HOG0006698	OG0001992	n14											CC_3255	CCNA_03364								Hsero_3239		lpg0667, lpg0676, lpg2107								PS417_06585		RSp1035	RALBFv3_18795	RPSI07_mp1066																					
N0.HOG0006699	OG0001993	n0					dqs_3944		BA000040v2__1752, BA000040v2__7026, BA000040v2__1753			CJJ81176_1280			ROD_35411			BW25113_2993, BW25113_0975	ECOLIN_16655, ECOLIN_04995	UTI89_C3415, UTI89_C1043									BGK56_21300								RSP_0499	RPA0965	STM14_3810, STM14_1854, STM14_2164	AL513382v1__6733, AL513382v1__2870, AL513382v1__3560	SL1344_3120, SL1344_1465, SL1344_1717																
N0.HOG0006700	OG0001994	n0						BT_2546		Bresu_1300, Bresu_1424, Bresu_0425	BCAL1815		CC_3270, CC_3282, CC_0150	CCNA_03379, CCNA_03391, CCNA_00149		CDR20291_1953					FTT_1010			lpg0423			Saro_0028			PA5403, PA2785	PA14_71330, PA14_28080							RPA0927				SALWKB2_2024		RSAU_001858							SP_1030				VF_A0054		
N0.HOG0006701	OG0001995	n0						BT_3394				CJJ81176_0785			ROD_50481		ECL_04269	BW25113_2938	ECOLIN_15835, ECOLIN_26455	UTI89_C3327	FTT_0432		VK055_4106	lpg0006		NMA2017			BGK56_07235	PA4839	PA14_63990	PS417_03005	Psyr_4381						STM14_3729	AL513382v1__6614	SL1344_3062												B5S57_02470	VC_A0815	VF_A0840	YPO0929	
N0.HOG0006702	OG0001996	n0							BA000040v2__67, BA000040v2__8405, BA000040v2__1623, BA000040v2__1984, BA000040v2__1622, BA000040v2__1621	Bresu_1646	pBCA068						ECL_A088			UTI89_P094							Saro_0380, Saro_0625, Saro_2198, Saro_3925				PA14_31190			RSc2617				RPA2251	STM14_5589		SL1344_P2_0036, SL1344_P1_0039		Swit_0192, Swit_3672, Swit_5262													AL117211v1__160	
N0.HOG0006703	OG0001997	n0								Bresu_0768		CJJ81176_1214	CC_0200	CCNA_00200							FTT_0155	Hsero_0459	VK055_0833, VK055_4546, VK055_0433	lpg1450			Saro_1330			PA4191, PA0147	PA14_01810		Psyr_2858, Psyr_0662	RSp1529	RALBFv3_16555	RPSI07_mp1626		RPA2358					Swit_4252, Swit_3772												VF_1657	YPO1316	
N0.HOG0006704	OG0001998	n1									BCAL3528, BCAL1367											Hsero_0815												RSc2896, RSp0841	RALBFv3_06555, RALBFv3_19660	RPSI07_0606, RPSI07_mp0785				AL513383v1__534																	
N0.HOG0006705	OG0001998	n10									pBCA049				ROD_30071		ECL_00422, ECL_A141, ECL_02786			UTI89_P102												PS417_20940							STM14_5592, STM14_3476	AL513382v1__9284, AL513382v1__6162	SL1344_P2_0087, SL1344_P1_0036, SL1344_2857																
N0.HOG0006706	OG0001999	n0													ROD_29691, ROD_48211			BW25113_4333	ECOLIN_24120	UTI89_C5042										PA0319, PA2017, PA0327	PA14_04160, PA14_38420, PA14_04270	PS417_27025, PS417_27020	Psyr_5110, Psyr_4849, Psyr_4848						STM14_5532, STM14_5535, STM14_5184	AL513382v1__9777, AL513382v1__9232	SL1344_P1_0098, SL1344_P1_0095, SL1344_4247																
N0.HOG0006707	OG0002000	n0													ROD_44151	CDR20291_1639, CDR20291_3134, CDR20291_1327, CDR20291_1367	ECL_04773	BW25113_3408	ECOLIN_18825	UTI89_C3909	FTT_1403c		VK055_3693	lpg2658					BGK56_12245	PA4359	PA14_56690						RSP_1819		STM14_4221	AL513382v1__8698	SL1344_3472	SALWKB2_1958											B5S57_10170	VC_2078	VF_0833	YPO0133	
N0.HOG0006708	OG0002001	n0														CDR20291_1469, CDR20291_0809, CDR20291_0377, CDR20291_3478, CDR20291_0826, CDR20291_0500, CDR20291_2834, CDR20291_2950, CDR20291_0697, CDR20291_0959, CDR20291_2716, CDR20291_0530, CDR20291_0405, CDR20291_1906, CDR20291_2501		BW25113_1432	ECOLIN_04005, ECOLIN_17025										BGK56_04585										STM14_1465, STM14_3182	AL513382v1__224	SL1344_2563	SALWKB2_0697															
N0.HOG0006709	OG0002002	n0															ECL_A249, ECL_03478	BW25113_4294, BW25113_0275, BW25113_0265, BW25113_4516, BW25113_3444, BW25113_0022	ECOLIN_20215, ECOLIN_24960, ECOLIN_20210	UTI89_C4808, UTI89_C1091									BGK56_21280											AL513383v1__495, AL513383v1__284, AL513382v1__4627, AL513382v1__8321, AL513383v1__407, AL513382v1__9419, AL513383v1__261, AL513383v1__9																YPO0968, YPO0964	
N0.HOG0006710	OG0002003	n0															ECL_A022								Rv3349c																						SAOUHSC_02410, SAOUHSC_01993	USA300HOU_2155, USA300HOU_1855		CWI64_01485, CWI64_06660, CWI64_09390, CWI64_09415, CWI64_04825, CWI64_10875, CWI64_05680, CWI64_01025	SP_0361, SP_0460, SP_1639, SP_1444, SP_1692, SP_1262, SP_1792, SP_0836, SP_1582	SP5448_04265					
N0.HOG0006711	OG0002004	n0	A1S_0109			At1D132_51570, At1D132_49950			BA000040v2__1065		BCAM1870, BCAM0239a				ROD_29521															PA3476, PA1432	PA14_19130, PA14_45940		Psyr_1621	RSc3286, RSp0779	RALBFv3_08605	RPSI07_0160, RPSI07_mp0704	RSP_0123	RPA0320					Swit_5027												VF_A0924	YPO2456, YPO0984	
N0.HOG0006712	OG0002005	n0	A1S_0183				dqs_1630	BT_0254	BA000040v2__8066						ROD_35621	CDR20291_0851	ECL_04336	BW25113_4469	ECOLIN_16755	UTI89_C3435			VK055_4040					PGN_1013		PA4928	PA14_65080	PS417_02590	Psyr_0587					RPA0679	STM14_3839	AL513382v1__6782	SL1344_3142												B5S57_14895	VC_1711	VF_1726		
N0.HOG0006713	OG0002006	n1																												PA4493	PA14_58300	PS417_04100	Psyr_4230																								
N0.HOG0006714	OG0002006	n5							BA000040v2__157				CC_1767	CCNA_01845								Hsero_2458																																			
N0.HOG0006715	OG0002006	n8	A1S_0234			At1D132_25590			BA000040v2__6759, BA000040v2__906	Bresu_0526	BCAL0499		CC_0247	CCNA_00247								Hsero_2597				NMA1805								RSc0040	RALBFv3_09610	RPSI07_3339	RSP_1518	RPA0571																			
N0.HOG0006716	OG0002007	n1	A1S_0253												ROD_31981		ECL_00533	BW25113_4135	ECOLIN_23275	UTI89_C4732			VK055_2939						BGK56_15935	PA3034	PA14_24840								STM14_5198	AL513382v1__9452	SL1344_4259															YPO0341	
N0.HOG0006717	OG0002007	n15							BA000040v2__5199		BCAL0364																							RSp0108	RALBFv3_22870	RPSI07_mp0075		RPA4338																			
N0.HOG0006718	OG0002007	n20							BA000040v2__5819		BCAM0014																					PS417_13150																									
N0.HOG0006719	OG0002008	n0	A1S_0342			At1D132_01410, At1D132_05900			BA000040v2__7406	Bresu_2061																				PA1055	PA14_50720	PS417_16835	Psyr_3253				RSP_3714, RSP_0993	RPA2790						RSAU_000827, RSAU_000580	SAR0912, SAR0632	SAS0820, SAS0591	SAOUHSC_00887, SAOUHSC_00627	USA300HOU_0910, USA300HOU_0645						VC_A0156			
N0.HOG0006720	OG0002009	n0	A1S_0426				dqs_1151				BCAM0988											Hsero_3295		lpg1299		NMA2146				PA3340, PA3115	PA14_20860, PA14_23830	PS417_18570	Psyr_3736, Psyr_1661	RSc1986, RSp0189	RALBFv3_02600, RALBFv3_22515	RPSI07_1443, RPSI07_mp0141						SALWKB2_1822											B5S57_15640	VC_0998	VF_1697		
N0.HOG0006721	OG0002010	n4																				Hsero_0691											Psyr_4496																								
N0.HOG0006722	OG0002010	n6									BCAL2291											Hsero_2819																				SALWKB2_0054															
N0.HOG0006723	OG0002010	n9									BCAM0559																			PA0197	PA14_02490		Psyr_4480, Psyr_0135, Psyr_2287																								
N0.HOG0006724	OG0002010	n14	A1S_3708, A1S_0452																								Saro_0739, Saro_0017																Swit_0117										B5S57_12685	VC_A0910	VF_1225		ZMO1_ZMO1717
N0.HOG0006725	OG0002011	n0	A1S_0567				dqs_1105		BA000040v2__7212	Bresu_2969	BCAL3326		CC_3304	CCNA_03413								Hsero_0698		lpg0875	Rv0156		Saro_1844	PGN_1121		PA0195.1	PA14_02460	PS417_00565	Psyr_5017	RSp0950, RSc2732	RALBFv3_05775	RPSI07_mp0628, RPSI07_0779		RPA4181					Swit_1182														
N0.HOG0006726	OG0002012	n0	A1S_0684	ACT75_02800	ACT74_04145										ROD_46301		ECL_04572	BW25113_3190	ECOLIN_17740	UTI89_C3624	FTT_1613		VK055_3877	lpg0846					BGK56_16460	PA4451	PA14_57820	PS417_04400	Psyr_4136						STM14_3995	AL513382v1__7059	SL1344_3280												B5S57_07995	VC_2515	VF_0400	YPO3570	
N0.HOG0006727	OG0002013	n0	A1S_0836			At1D132_02550	dqs_0833		BA000040v2__2593	Bresu_2775	BCAL0804	CJJ81176_0518	CC_1335	CCNA_01396								Hsero_3916				NMA1090		PGN_0995		PA4667	PA14_61720	PS417_03595	Psyr_0947	RSc0398	RALBFv3_11115	RPSI07_3009		RPA1038				SALWKB2_1005	Swit_4107														ZMO1_ZMO1183
N0.HOG0006728	OG0002014	n0	A1S_0936				dqs_2258				BCAL0435				ROD_01981		ECL_00995	BW25113_0190	ECOLIN_01000	UTI89_C0206		Hsero_0984	VK055_2362							PA3726	PA14_16210	PS417_22860	Psyr_1297	RSc0785	RALBFv3_13140	RPSI07_2557			STM14_0281	AL513382v1__570	SL1344_0240												B5S57_03085		VF_1118	YPO1065	
N0.HOG0006729	OG0002015	n1													ROD_14011							Hsero_1005																																			
N0.HOG0006730	OG0002015	n5							BA000040v2__6357	Bresu_2106	BCAM0078																Saro_3415, Saro_0713					PS417_18200											Swit_1756														
N0.HOG0006731	OG0002015	n11	A1S_0949								BCAM1843						ECL_04261						VK055_4114				Saro_3429, Saro_3427		BGK56_01110	PA3503													Swit_3418, Swit_2311, Swit_1563														
N0.HOG0006732	OG0002015	n21							BA000040v2__6508																																		Swit_1564														
N0.HOG0006733	OG0002016	n0	A1S_1038	ACT75_04235	ACT74_08820										ROD_49241		ECL_04236	BW25113_2909	ECOLIN_15680	UTI89_C3295	FTT_1219c		VK055_4138	lpg0076					BGK56_06860	PA5225	PA14_69010	PS417_27290	Psyr_0320						STM14_3696	AL513382v1__6557	SL1344_3035												B5S57_08225	VC_2476	VF_2102	YPO0911	
N0.HOG0006734	OG0002017	n1									BCAM1264		CC_2791	CCNA_02881																		PS417_14315		RSp0827	RALBFv3_19730	RPSI07_mp0771																					
N0.HOG0006735	OG0002017	n7	A1S_1102, A1S_1796, A1S_1797, A1S_1835, A1S_1332			At1D132_30650					BCAM2514				ROD_25491							Hsero_0147								PA2217, PA1253	PA14_36050, PA14_48010	PS417_11015	Psyr_3157				RSP_3656																				
N0.HOG0006736	OG0002018	n0	A1S_1510												ROD_50611, ROD_03671, ROD_27801		ECL_00942			UTI89_C4907			VK055_2997, VK055_0814						BGK56_09285, BGK56_10080	PA2128	PA14_59710, PA14_37060								STM14_5516, STM14_0396	AL513382v1__9951, AL513382v1__750	SL1344_4522, SL1344_0335															YPO1922, YPO3877, YPO1707, YPO2945	
N0.HOG0006737	OG0002019	n0	A1S_1548			At1D132_25360	dqs_3028		BA000040v2__758	Bresu_3178	BCAL0893		CC_3535	CCNA_03649								Hsero_0704		lpg0296		NMA2208	Saro_2000			PA0596	PA14_07780	PS417_25790	Psyr_4623	RSc0514	RALBFv3_11725	RPSI07_2850	RSP_1523	RPA0078				SALWKB2_1661	Swit_2677														
N0.HOG0006738	OG0002020	n1																																										RSAU_002157		SAS2214	SAOUHSC_02595	USA300HOU_2301									
N0.HOG0006739	OG0002020	n5	A1S_1814												ROD_37301		ECL_00275				FTT_0849	Hsero_4706	VK055_3063			NMA0046				PA1650	PA14_43170								STM14_5042		SL1344_4130	SALWKB2_0792															
N0.HOG0006740	OG0002020	n16	A1S_3421			At1D132_42820																				NMA0909				PA3264	PA14_21780	PS417_09240	Psyr_1587																								
N0.HOG0006741	OG0002021	n0	A1S_2043			At1D132_16890		BT_2063		Bresu_2670	BCAM0492		CC_3501	CCNA_03616			ECL_03937					Hsero_2542	VK055_4573			NMA1975	Saro_1630			PA3789	PA14_15080	PS417_02865	Psyr_4424					RPA4429						RSAU_001315		SAS1385	SAOUHSC_01456	USA300HOU_1379						VC_A0891			
N0.HOG0006742	OG0002022	n0	A1S_2104				dqs_3981		BA000040v2__3062		BCAL0059				ROD_23981	CDR20291_1834		BW25113_2441	ECOLIN_13510	UTI89_C2774		Hsero_2517	VK055_4727							PA4024	PA14_11770	PS417_24820	Psyr_0628	RSc3127	RALBFv3_07805	RPSI07_0360		RPA3749	STM14_3016	AL513382v1__5349	SL1344_2421																
N0.HOG0006743	OG0002023	n0	A1S_2106				dqs_3982		BA000040v2__3064		BCAL0060				ROD_23971	CDR20291_1835		BW25113_2440	ECOLIN_13505	UTI89_C2773		Hsero_2516	VK055_2250, VK055_4728							PA4025	PA14_11760	PS417_24825	Psyr_0627	RSc3126	RALBFv3_07800	RPSI07_0361		RPA3747	STM14_3015	AL513382v1__5348	SL1344_2420																
N0.HOG0006744	OG0002024	n0	A1S_2180			At1D132_20170	dqs_1637		BA000040v2__5691	Bresu_1053	BCAM1233		CC_1602	CCNA_01674								Hsero_0636	VK055_0150		Rv2411c		Saro_2775			PA1730	PA14_42160	PS417_13520, PS417_21245	Psyr_1869	RSc1121	RALBFv3_14755	RPSI07_2255	RSP_2415	RPA2177					Swit_0519														
N0.HOG0006745	OG0002025	n0	A1S_2328			At1D132_13650			BA000040v2__898						ROD_37831		ECL_05026	BW25113_3962	ECOLIN_22130	UTI89_C4555	FTT_0684c		VK055_3226		Rv2713				BGK56_14145	PA2991	PA14_25390	PS417_07650	Psyr_1901						STM14_4960	AL513382v1__7573	SL1344_4075												B5S57_19745	VC_0151	VF_2439	YPO3914	
N0.HOG0006746	OG0002026	n0	A1S_2373, A1S_2568			At1D132_41140									ROD_05921		ECL_03962, ECL_03118	BW25113_0583	ECOLIN_03105	UTI89_C0583			VK055_1935		Rv2794c					PA1165	PA14_49340	PS417_21525	Psyr_3713						STM14_0681	AL513382v1__1229	SL1344_0572	SALWKB2_2021											B5S57_15550, B5S57_00010	VC_0780		YPO1580	
N0.HOG0006747	OG0002027	n0	A1S_2530										CC_2952	CCNA_03047	ROD_11581	CDR20291_1296	ECL_02540	BW25113_1096	ECOLIN_06180	UTI89_C1222			VK055_1371		Rv0812				BGK56_04990	PA2964	PA14_25710	PS417_21425	Psyr_1650						STM14_1371	AL513382v1__2299	SL1344_1135												B5S57_10470	VC_2018	VF_1737	YPO1603	
N0.HOG0006748	OG0002028	n0	A1S_2829				dqs_3158			Bresu_2669			CC_3500	CCNA_03615			ECL_01867	BW25113_1451		UTI89_C1670			VK055_0573						BGK56_20230	PA2289	PA14_34990	PS417_02265						RPA2398, RPA1816, RPA0765	STM14_1920	AL513382v1__2786	SL1344_1518	SALWKB2_1446	Swit_2477, Swit_1794														
N0.HOG0006749	OG0002029	n1	A1S_2845			At1D132_11420			BA000040v2__1485		BCAM1677		CC_1120	CCNA_01178													Saro_2559			PA4129	PA14_10560			RSc1863			RSP_1940	RPA4212					Swit_4057														
N0.HOG0006750	OG0002029	n13					dqs_0442				BCAL2684											Hsero_3100								PA1837	PA14_40780	PS417_12285	Psyr_2461	RSc2424	RALBFv3_04590	RPSI07_1050																					
N0.HOG0006751	OG0002030	n0	A1S_3091	ACT75_04330	ACT74_08915										ROD_37051		ECL_00298	BW25113_4041	ECOLIN_22575	UTI89_C4611			VK055_3044		Rv1551, Rv2482c				BGK56_11415	PA3673	PA14_16860	PS417_06135	Psyr_1328						STM14_5092	AL513382v1__9043	SL1344_4172												B5S57_19765	VC_0093	VF_2443	YPO0312	
N0.HOG0006752	OG0002031	n0	A1S_3402												ROD_07701		ECL_02967						VK055_1738	lpg0709					BGK56_06535	PA3175	PA14_23170			RSc2645	RALBFv3_05380	RPSI07_0872			STM14_0914	AL513382v1__1608	SL1344_0765			RSAU_002169	SAR2420	SAS2226	SAOUHSC_02610	USA300HOU_2314				SP5448_08995	B5S57_11905	VC_1204	VF_A0452		
N0.HOG0006753	OG0002032	n0		ACT75_09800, ACT75_00340	ACT74_09165			BT_3040, BT_4539, BT_3042, BT_p548233, BT_4743, BT_2278, BT_4020, BT_3137									ECL_00100, ECL_00101			UTI89_C4212, UTI89_C4213						NMA1039		PGN_0093		PA2733			Psyr_2815					RPA2958	STM14_4524	AL513382v1__8137	SL1344_3720																
N0.HOG0006754	OG0002033	n0		ACT75_02315	ACT74_02165		dqs_1300		BA000040v2__2044		BCAM1767				ROD_33711		ECL_03158	BW25113_1508	ECOLIN_08370	UTI89_C1737		Hsero_0411	VK055_0820, VK055_1991	lpg2368, lpg2377										RSp1252	RALBFv3_17775	RPSI07_mp1287	RSP_0762													CWI64_09905	SP_0584, SP_1144				VF_1469		
N0.HOG0006755	OG0002034	n0		ACT75_03280	ACT74_06760			BT_4701							ROD_26711		ECL_03614	BW25113_2264	ECOLIN_12725	UTI89_C2548			VK055_4853		Rv0555				BGK56_05650										STM14_2847	AL513382v1__4941	SL1344_2278			RSAU_000932	SAR1017	SAS0979	SAOUHSC_00983	USA300HOU_0991					B5S57_10575	VC_1975	VF_1671	YPO2527	
N0.HOG0006756	OG0002035	n0		ACT75_03530	ACT74_04335			BT_0823		Bresu_1683			CC_1490	CCNA_01557	ROD_47951, ROD_14831		ECL_04492, ECL_02180	BW25113_3092	ECOLIN_17210	UTI89_C3530			VK055_3948				Saro_3523, Saro_3677										RSP_0488		STM14_3797	AL513382v1__6718	SL1344_3111		Swit_1887						SAK_0827							YPO0579	
N0.HOG0006757	OG0002036	n0		ACT75_04135	ACT74_08230			BT_1086		Bresu_0014		CJJ81176_0236	CC_2646	CCNA_02729		CDR20291_1250						Hsero_0075		lpg0713	Rv2395	NMA0207	Saro_1960	PGN_1518		PA3934	PA14_12980	PS417_18835	Psyr_1179	RSc3297	RALBFv3_08700	RPSI07_0148						SALWKB2_0554	Swit_2979														
N0.HOG0006758	OG0002037	n0		ACT75_05240	ACT74_00155						BCAL2396				ROD_50281		ECL_04286	BW25113_2959	ECOLIN_15930	UTI89_C3349			VK055_4084			NMA0522			BGK56_08935	PA1842, PA3046	PA14_40690, PA14_24700	PS417_20915	Psyr_2112						STM14_3753	AL513382v1__6658	SL1344_3083												B5S57_13015		VF_1139	YPO0950	
N0.HOG0006759	OG0002038	n0		ACT75_05620	ACT74_08435		dqs_3604				BCAL3140					CDR20291_2482						Hsero_0466			Rv1379					PA0403	PA14_05270	PS417_26695	Psyr_0483	RSc0677	RALBFv3_12610	RPSI07_2674								RSAU_001081	SAR1174	SAS1132	SAOUHSC_01164	USA300HOU_1136	SAK_1397	CWI64_01935	SP_1278	SP5448_06355					
N0.HOG0006760	OG0002039	n0		ACT75_07805	ACT74_01170			BT_0370							ROD_07531		ECL_02980	BW25113_0757	ECOLIN_03910	UTI89_C0754	FTT_1476		VK055_1765		Rv0620		Saro_0544	PGN_0484	BGK56_06720										STM14_0899	AL513382v1__1574	SL1344_0751									CWI64_04615	SP_1853		B5S57_08865	VC_1595	VF_A0355	YPO1137	
N0.HOG0006761	OG0002040	n0		ACT75_09625	ACT74_05860										ROD_42211	CDR20291_2220	ECL_00169	BW25113_3600	ECOLIN_19855	UTI89_C2322, UTI89_C4138			VK055_3527																STM14_4444	AL513382v1__8280	SL1344_3651			RSAU_001995	SAR2247	SAS2060	SAOUHSC_02403	USA300HOU_2149		CWI64_09095	SP_0397		B5S57_04055	VC_A1046		YPO4067	
N0.HOG0006762	OG0002041	n0		ACT75_10335	ACT74_01540		dqs_0929				BCAL3426				ROD_14261		ECL_02320	BW25113_1641	ECOLIN_08845	UTI89_C1832			VK055_0498						BGK56_01670	PA1053	PA14_50740	PS417_06540	Psyr_3852	RSc2792	RALBFv3_06015	RPSI07_0717			STM14_1743	AL513382v1__3129	SL1344_1377															YPO2373, YPO3646	
N0.HOG0006763	OG0002042	n0		ACT75_10745	ACT74_03190		dqs_2505								ROD_13311		ECL_02426	BW25113_1725	ECOLIN_09310	UTI89_C1919			VK055_0271						BGK56_01300										STM14_1608	AL513382v1__3354	SL1344_1259			RSAU_002429	SAR2668	SAS2474	SAOUHSC_02908	USA300HOU_2582					B5S57_13350	VC_1539	VF_1413	YPO2444	ZMO1_ZMO0139
N0.HOG0006764	OG0002043	n0		ACT75_11410	ACT74_03690			BT_1696, BT_4415, BT_1689															VK055_3841, VK055_2545					PGN_0504											STM14_0892, STM14_0064, STM14_4043	AL513382v1__7153, AL513382v1__120	SL1344_0055, SL1344_0745, SL1344_3323											SP5448_05090, SP5448_05120	B5S57_17705, B5S57_13985	VC_0551, VC_0792	VF_0540		
N0.HOG0006765	OG0002044	n0				At1D132_00870	dqs_3973		BA000040v2__1332, BA000040v2__1329	Bresu_1610	BCAL0626		CC_2372	CCNA_02457								Hsero_4695					Saro_2269			PA0660	PA14_08460	PS417_25670		RSc0255, RSp0316	RALBFv3_10400, RALBFv3_21875	RPSI07_3159, RPSI07_mp0291	RSP_1252	RPA1369, RPA3656, RPA4708																			
N0.HOG0006766	OG0002045	n2				At1D132_30710					BCAL2447											Hsero_1812												RSc0986	RALBFv3_14085	RPSI07_2409																					
N0.HOG0006767	OG0002045	n7				At1D132_10580			BA000040v2__5209	Bresu_2378	BCAS0191		CC_2158	CCNA_02241													Saro_3105			PA0814	PA14_53740	PS417_06660, PS417_14845					RSP_0894, RSP_3438	RPA3137					Swit_2784														ZMO1_ZMO0251
N0.HOG0006768	OG0002046	n1				At1D132_10990			BA000040v2__7940													Hsero_4011														RPSI07_2762		RPA1789																			
N0.HOG0006769	OG0002046	n5					dqs_2653, dqs_2145, dqs_0324		BA000040v2__3500, BA000040v2__3494		BCAL2687, BCAL0020											Hsero_1349, Hsero_4122												RSc2428, RSc3329	RALBFv3_10655, RALBFv3_04610, RALBFv3_08865	RPSI07_3107, RPSI07_1046, RPSI07_0115		RPA4019																			
N0.HOG0006770	OG0002047	n0				At1D132_12530	dqs_1452		BA000040v2__2977, BA000040v2__4518, BA000040v2__1025	Bresu_1918					ROD_45461		ECL_04652		ECOLIN_18135	UTI89_C3710										PA3858	PA14_14100	PS417_23345, PS417_04900	Psyr_1072				RSP_1747	RPA2628, RPA2560, RPA4797					Swit_2625										B5S57_13710	VC_1362	VF_1532		
N0.HOG0006771	OG0002048	n0				At1D132_13550		BT_1313	BA000040v2__5975		BCAM0071		CC_3113	CCNA_03211	ROD_16771		ECL_01797	BW25113_1325	ECOLIN_07705	UTI89_C1596			VK055_1138									PS417_13320					RSP_1769	RPA3964	STM14_2029	AL513382v1__2603	SL1344_1611		Swit_4609, Swit_1823, Swit_0643													YPO2341	ZMO1_ZMO1228
N0.HOG0006772	OG0002049	n1				At1D132_26270			BA000040v2__6231													Hsero_1411											Psyr_1167, Psyr_1004				RSP_0342, RSP_2208, RSP_3559												SAK_1052	CWI64_11160	SP_0848	SP5448_04915					
N0.HOG0006773	OG0002049	n12				At1D132_14910	dqs_2349		BA000040v2__6238													Hsero_4266								PA0138	PA14_01690		Psyr_0671	RSc2175	RALBFv3_03455	RPSI07_1250		RPA4577																			
